id,x,y,grav,classe
0,0,0,0,2
1,0,0,0,2
2,0,0,0,2
3,0,0,0,1
4,0,0,0,3
5,0,0,0,2
6,0,0,0,1
7,0,0,0,3
8,0,0,0,2
9,0,0,0,2
10,0,0,0,2
11,0,0,0,1
12,0,0,0,1
13,0,0,0,2
14,0,0,0,3
15,0,0,0,1
16,0,0,0,1
17,0,0,0,2
18,0,0,0,2
19,0,0,0,3
20,0,0,0,2
21,0,0,0,2
22,0,0,0,3
23,0,0,0,2
24,0,0,0,1
25,0,0,0,1
26,0,0,0,2
27,0,0,0,1
28,0,0,0,3
29,0,0,0,2
30,0,0,0,2
31,0,0,0,2
32,0,0,0,3
33,0,0,0,3
34,0,0,0,2
35,0,0,0,2
36,0,0,0,2
37,0,0,0,2
38,0,0,0,1
39,0,0,0,2
40,0,0,0,1
41,0,0,0,2
42,0,0,0,3
43,0,0,0,1
44,0,0,0,2
45,0,0,0,3
46,0,0,0,3
47,0,0,0,3
48,0,0,0,2
49,0,0,0,1
50,0,0,0,2
51,0,0,0,1
52,0,0,0,2
53,0,0,0,2
54,0,0,0,3
55,0,0,0,1
56,0,0,0,2
57,0,0,0,1
58,0,0,0,2
59,0,0,0,2
60,0,0,0,2
61,0,0,0,2
62,0,0,0,4
63,0,0,0,2
64,0,0,0,2
65,0,0,0,1
66,0,0,0,2
67,0,0,0,1
68,0,0,0,2
69,0,0,0,2
70,0,0,0,3
71,0,0,0,3
72,0,0,0,2
73,0,0,0,2
74,0,0,0,2
75,0,0,0,3
76,0,0,0,2
77,0,0,0,2
78,0,0,0,2
79,0,0,0,3
80,0,0,0,2
81,0,0,0,2
82,0,0,0,2
83,0,0,0,2
84,0,0,0,2
85,0,0,0,2
86,0,0,0,3
87,0,0,0,2
88,0,0,0,1
89,0,0,0,3
90,0,0,0,3
91,0,0,0,2
92,0,0,0,3
93,0,0,0,3
94,0,0,0,4
95,0,0,0,1
96,0,0,0,2
97,0,0,0,2
98,0,0,0,2
99,0,0,0,2
100,0,0,0,3
101,0,0,0,2
102,0,0,0,3
103,0,0,0,3
104,0,0,0,2
105,0,0,0,1
106,0,0,0,4
107,0,0,0,1
108,0,0,0,3
109,0,0,0,2
110,0,0,0,1
111,0,0,0,3
112,0,0,0,2
113,0,0,0,1
114,0,0,0,1
115,0,0,0,1
116,0,0,0,2
117,0,0,0,3
118,0,0,0,1
119,0,0,0,2
120,0,0,0,2
121,0,0,0,2
122,0,0,0,2
123,0,0,0,3
124,0,0,0,2
125,0,0,0,3
126,0,0,0,1
127,0,0,0,2
128,0,0,0,2
129,0,0,0,2
130,0,0,0,2
131,0,0,0,3
132,0,0,0,2
133,0,0,0,2
134,0,0,0,2
135,0,0,0,1
136,0,0,0,2
137,0,0,0,1
138,0,0,0,3
139,0,0,0,2
140,0,0,0,2
141,0,0,0,2
142,0,0,0,2
143,0,0,0,1
144,0,0,0,2
145,0,0,0,2
146,0,0,0,2
147,0,0,0,2
148,0,0,0,2
149,0,0,0,2
150,0,0,0,2
151,0,0,0,2
152,0,0,0,2
153,0,0,0,2
154,0,0,0,1
155,0,0,0,1
156,0,0,0,3
157,0,0,0,2
158,0,0,0,2
159,0,0,0,3
